,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
2330,Aprende a Tocar Teclado - Piano,True,35,119,8,52,All Levels,3.5,Musical Instruments,2012,1,26,5,36
2331,Castañuelas por Sevillanas - Curso del toque de castañuelas,True,40,22,2,17,All Levels,0.7166666666666667,Musical Instruments,2016,2,12,14,41
2332,Aprende a tocar el acordeón de botones,True,50,20,6,24,Beginner Level,2.0,Musical Instruments,2017,5,17,16,50
2333,Aprende a tocar Música Cristiana en el piano y teclado,True,20,17,3,13,All Levels,1.0,Musical Instruments,2014,5,16,17,2
2334,Easy Guitar Songwriting And Harmony,True,20,82,3,62,Beginner Level,3.5,Musical Instruments,2017,3,14,16,24
2335,How to play easy tunes on the harmonica - just the basics,True,35,79,3,15,Beginner Level,1.5,Musical Instruments,2014,2,25,19,47
2336,Rhythm to Rock Drum Lessons 2,True,20,21,2,11,Beginner Level,1.0,Musical Instruments,2014,3,10,2,9
2337,Instant Harmonica - play Over the Rainbow + Skye Boat now!,True,40,29,4,22,All Levels,1.5,Musical Instruments,2016,7,18,21,54
2338,Bagpipe Instruction For Beginners,True,30,31,4,5,Beginner Level,1.0,Musical Instruments,2016,4,24,16,32
2339,"Flute Solos: Learn how to Perform Three Fun, Unique Pieces",True,50,156,4,62,All Levels,3.0,Musical Instruments,2015,9,22,22,2
2340,Rhythm to Rock Drum Lessons 3,True,20,12,2,12,Beginner Level,1.0,Musical Instruments,2014,7,18,2,11
2341,Guitar Lessons - Sweep Picking Arpeggio Essentials,True,35,74,6,13,Intermediate Level,1.5,Musical Instruments,2016,2,15,16,59
2342,Painless Piano!,True,40,353,1,30,Beginner Level,3.5,Musical Instruments,2014,6,23,14,11
2343,Beginning Flute Lessons,True,20,137,12,17,Beginner Level,2.5,Musical Instruments,2013,5,29,23,20
2344,Piano Lesson Variety,True,40,59,1,28,Intermediate Level,4.0,Musical Instruments,2016,8,18,22,0
2345,Pop and Jazz Keyboards and Harmony (beginner level),True,180,47,7,13,Beginner Level,3.0,Musical Instruments,2016,7,12,19,26
2346,Starting to play the blues on your harmonica in easy steps ,True,35,71,3,16,Intermediate Level,2.0,Musical Instruments,2014,3,1,18,53
2347,Learn the Viola - Scales and Fundamentals,True,80,21,3,38,Beginner Level,2.5,Musical Instruments,2016,11,16,17,34
2348,"Learn to Play 'Let It Snow on Piano""",True,40,36,4,8,Intermediate Level,1.0,Musical Instruments,2016,10,4,17,36
2349,Instant Harmonica - play the Irish anthem Danny Boy today!,True,40,8,1,15,All Levels,1.0,Musical Instruments,2017,3,21,20,54
2350,Piano Building Blocks: Learn Chord Additions & Variations,False,0,375,0,9,Beginner Level,1.0,Musical Instruments,2017,7,2,21,55
